iter	Passed	Remaining
0	51	51442
1	58	29201
2	65	21747
3	71	17723
4	75	15105
5	80	13339
6	85	12118
7	90	11190
8	96	10590
9	103	10198
10	111	9997
11	121	10015
12	127	9660
13	135	9535
14	142	9347
15	148	9137
16	154	8953
17	161	8836
18	166	8574
19	170	8346
20	175	8163
21	179	7981
22	183	7815
23	188	7685
24	194	7572
25	199	7480
26	205	7405
27	209	7287
28	215	7228
29	219	7109
30	224	7002
31	227	6892
32	232	6804
33	236	6721
34	242	6694
35	248	6662
36	252	6576
37	256	6495
38	261	6433
39	267	6419
40	272	6381
41	277	6335
42	282	6291
43	287	6257
44	293	6222
45	300	6232
46	306	6223
47	317	6292
48	324	6294
49	330	6281
50	335	6244
51	340	6198
52	345	6179
53	352	6168
54	360	6196
55	367	6190
56	371	6147
57	377	6130
58	382	6093
59	387	6066
60	392	6041
61	397	6010
62	401	5974
63	407	5955
64	411	5917
65	415	5876
66	419	5834
67	423	5799
68	427	5765
69	431	5738
70	437	5722
71	442	5700
72	446	5665
73	450	5632
74	454	5604
75	459	5585
76	464	5563
77	470	5563
78	475	5540
79	482	5550
80	487	5536
81	493	5521
82	497	5499
83	503	5486
84	507	5460
85	510	5430
86	515	5404
87	518	5378
88	523	5354
89	527	5329
90	531	5308
91	536	5295
92	540	5272
93	544	5248
94	548	5224
95	552	5201
96	557	5186
97	561	5168
98	566	5153
99	571	5145
100	576	5133
101	582	5124
102	587	5117
103	592	5105
104	597	5091
105	602	5080
106	606	5061
107	610	5041
108	614	5024
109	618	5004
110	622	4988
111	628	4985
112	633	4975
113	639	4968
114	644	4961
115	650	4958
116	654	4939
117	660	4935
118	664	4916
119	668	4903
120	673	4895
121	679	4892
122	683	4876
123	689	4868
124	693	4856
125	698	4843
126	702	4827
127	706	4814
128	711	4805
129	717	4800
130	724	4805
131	730	4800
132	734	4789
133	739	4778
134	744	4770
135	752	4782
136	758	4779
137	763	4766
138	768	4757
139	774	4756
140	781	4760
141	789	4772
142	796	4771
143	802	4770
144	809	4775
145	817	4780
146	823	4775
147	828	4771
148	838	4788
149	843	4781
150	849	4773
151	855	4774
152	868	4805
153	874	4806
154	885	4828
155	891	4823
156	897	4817
157	906	4833
158	912	4827
159	917	4816
160	922	4809
161	935	4839
162	941	4832
163	947	4832
164	956	4840
165	962	4835
166	968	4830
167	976	4833
168	980	4822
169	985	4812
170	990	4803
171	1000	4815
172	1007	4817
173	1014	4816
174	1021	4813
175	1030	4822
176	1037	4824
177	1043	4817
178	1054	4836
179	1059	4828
180	1065	4822
181	1076	4837
182	1082	4832
183	1092	4844
184	1098	4838
185	1103	4828
186	1110	4826
187	1120	4840
188	1125	4831
189	1130	4820
190	1136	4813
191	1146	4826
192	1153	4821
193	1160	4822
194	1167	4821
195	1175	4823
196	1181	4817
197	1187	4808
198	1191	4795
199	1197	4791
200	1206	4797
201	1211	4786
202	1217	4779
203	1226	4785
204	1234	4787
205	1240	4780
206	1247	4777
207	1257	4787
208	1262	4779
209	1272	4786
210	1281	4792
211	1290	4796
212	1296	4790
213	1303	4786
214	1312	4792
215	1319	4787
216	1325	4783
217	1334	4787
218	1339	4777
219	1346	4772
220	1358	4788
221	1363	4779
222	1370	4776
223	1379	4778
224	1384	4768
225	1390	4763
226	1399	4764
227	1404	4754
228	1409	4744
229	1418	4749
230	1424	4743
231	1431	4739
232	1436	4728
233	1441	4718
234	1447	4713
235	1455	4712
236	1463	4710
237	1467	4698
238	1473	4692
239	1482	4693
240	1488	4687
241	1496	4686
242	1502	4680
243	1508	4672
244	1515	4669
245	1520	4660
246	1526	4653
247	1534	4652
248	1539	4643
249	1544	4633
250	1551	4629
251	1558	4624
252	1562	4614
253	1567	4603
254	1575	4603
255	1582	4600
256	1588	4593
257	1597	4593
258	1601	4582
259	1608	4576
260	1615	4574
261	1620	4564
262	1627	4561
263	1635	4559
264	1640	4551
265	1648	4547
266	1657	4550
267	1663	4543
268	1668	4533
269	1674	4527
270	1685	4533
271	1690	4523
272	1697	4519
273	1703	4513
274	1709	4507
275	1714	4498
276	1720	4489
277	1725	4480
278	1730	4472
279	1735	4461
280	1740	4452
281	1745	4443
282	1750	4434
283	1754	4423
284	1760	4416
285	1764	4405
286	1768	4394
287	1773	4385
288	1778	4376
289	1783	4366
290	1787	4355
291	1792	4346
292	1796	4334
293	1801	4325
294	1806	4317
295	1811	4307
296	1816	4299
297	1820	4288
298	1825	4280
299	1830	4272
300	1836	4263
301	1842	4257
302	1846	4247
303	1853	4243
304	1860	4238
305	1867	4234
306	1874	4230
307	1879	4221
308	1883	4212
309	1888	4202
310	1892	4192
311	1897	4183
312	1902	4176
313	1907	4166
314	1911	4157
315	1915	4147
316	1920	4137
317	1925	4129
318	1930	4121
319	1935	4111
320	1940	4104
321	1945	4095
322	1949	4086
323	1953	4075
324	1958	4067
325	1963	4058
326	1966	4047
327	1971	4040
328	1976	4030
329	1980	4021
330	1985	4012
331	1990	4004
332	1994	3995
333	1999	3986
334	2005	3981
335	2010	3972
336	2014	3962
337	2019	3955
338	2024	3947
339	2029	3939
340	2034	3931
341	2039	3923
342	2045	3917
343	2049	3908
344	2057	3905
345	2063	3899
346	2067	3890
347	2071	3881
348	2077	3874
349	2082	3867
350	2086	3858
351	2092	3851
352	2097	3844
353	2102	3836
354	2107	3828
355	2113	3823
356	2118	3815
357	2124	3809
358	2128	3799
359	2132	3791
360	2137	3783
361	2142	3775
362	2146	3766
363	2151	3758
364	2155	3750
365	2160	3741
366	2165	3734
367	2169	3726
368	2173	3717
369	2178	3709
370	2183	3701
371	2188	3693
372	2193	3686
373	2198	3679
374	2203	3672
375	2208	3664
376	2212	3656
377	2217	3649
378	2222	3642
379	2227	3634
380	2233	3627
381	2239	3622
382	2244	3615
383	2249	3608
384	2255	3602
385	2259	3594
386	2265	3587
387	2270	3581
388	2274	3572
389	2279	3565
390	2284	3558
391	2289	3551
392	2294	3544
393	2298	3535
394	2303	3528
395	2307	3520
396	2312	3511
397	2317	3504
398	2321	3496
399	2325	3487
400	2330	3480
401	2334	3473
402	2339	3465
403	2343	3456
404	2347	3448
405	2351	3441
406	2356	3434
407	2361	3425
408	2365	3417
409	2370	3410
410	2374	3402
411	2378	3395
412	2383	3387
413	2388	3381
414	2394	3374
415	2398	3366
416	2403	3360
417	2408	3353
418	2412	3345
419	2418	3339
420	2423	3333
421	2431	3329
422	2436	3323
423	2443	3318
424	2448	3312
425	2454	3306
426	2460	3301
427	2465	3294
428	2470	3288
429	2476	3282
430	2482	3277
431	2487	3271
432	2492	3263
433	2497	3257
434	2502	3250
435	2508	3245
436	2513	3237
437	2517	3230
438	2522	3223
439	2528	3217
440	2533	3211
441	2537	3203
442	2543	3197
443	2548	3191
444	2554	3186
445	2559	3179
446	2565	3173
447	2570	3167
448	2575	3160
449	2580	3154
450	2586	3148
451	2591	3141
452	2596	3135
453	2603	3130
454	2608	3124
455	2614	3119
456	2620	3113
457	2627	3109
458	2633	3103
459	2640	3099
460	2644	3092
461	2650	3087
462	2656	3081
463	2661	3074
464	2667	3069
465	2672	3062
466	2680	3059
467	2688	3055
468	2692	3048
469	2700	3045
470	2706	3040
471	2713	3034
472	2720	3031
473	2726	3025
474	2731	3019
475	2738	3014
476	2745	3010
477	2750	3003
